katamajemuk,label,is_kata_dasar,kata_dasar_1,kata_dasar_2
gelap pikiran,1,0,gelap,pikiran
geli hati,1,0,geli,hati
gering hulu,1,0,gering,hulu
gugur hati,1,0,gugur,hati
habis akal,1,0,habis,akal
habis jodoh,1,0,habis,jodoh
habis perkara,1,0,habis,perkara
hampa tangan,1,0,hampa,tangan
hangat hati,1,0,hangat,hati
hilang akal,1,0,hilang,akal
hilang arwah,1,0,hilang,arwah
hilang ingatan,1,0,hilang,ingatan
hilang keberanian,1,0,hilang,keberanian
hilang pikiran,1,0,hilang,pikiran
hilang semangat,1,0,hilang,semangat
hina budi,1,0,hina,budi
hina pekerti,1,0,hina,pekerti
iba hati,1,0,iba,hati
iri hati,1,0,iri,hati
jatuh colok,1,0,jatuh,colok
jatuh harga,1,0,jatuh,harga
jatuh hati,1,0,jatuh,hati
jatuh merek,1,0,jatuh,merek
jatuh nama,1,0,jatuh,nama
jatuh talak,1,0,jatuh,talak
jilah kening,1,0,jilah,kening
kasar tangan,1,0,kasar,tangan
kebal kulit,1,0,kebal,kulit
kecil hati,1,0,kecil,hati
kekok akal,1,0,kekok,akal
kelam mata,1,0,kelam,mata
kembang hati,1,0,kembang,hati
kembang tengkuk,1,0,kembang,tengkuk
kena hati,1,0,kena,hati
kepalang ajar,1,0,kepalang,ajar
keras hati,1,0,keras,hati
keras hidung,1,0,keras,hidung
keras jangat,1,0,keras,jangat
keras kepala,1,0,keras,kepala
keras lidah,1,0,keras,lidah
keras mulut,1,0,keras,mulut
keras tulang,1,0,keras,tulang
kering darah,1,0,kering,darah
kotor mulut,1,0,kotor,mulut
kuat hati,1,0,kuat,hati
kuat iman,1,0,kuat,iman
kurang adab,1,0,kurang,adab
kurang adat,1,0,kurang,adat
kurang air,1,0,kurang,air
kurang ajar,1,0,kurang,ajar
kurang akal,1,0,kurang,akal
kurang asam,1,0,kurang,asam
kurang bahasa,1,0,kurang,bahasa
kurang darah,1,0,kurang,darah
kurang hati,1,0,kurang,hati
kurang ingatan,1,0,kurang,ingatan
kurang sinar,1,0,kurang,sinar
kurang tenaga,1,0,kurang,tenaga
lancang mulut,1,0,lancang,mulut
lancar kaji,1,0,lancar,kaji
lantas akal,1,0,lantas,akal
lantas tangan,1,0,lantas,tangan
lapang dada,1,0,lapang,dada
lapang hati,1,0,lapang,hati
lapang perut,1,0,lapang,perut
lebar mulut,1,0,lebar,mulut
lega dada,1,0,lega,dada
lega hati,1,0,lega,hati
lemah hati,1,0,lemah,hati
lemah semangat,1,0,lemah,semangat
lemah syahwat,1,0,lemah,syahwat
lemah zakar,1,0,lemah,zakar
lembut hati,1,0,lembut,hati
lengah mata,1,0,lengah,mata
lepas malu,1,0,lepas,malu
lepas tangan ,1,0,lepas,tangan
lepas tugas,1,0,lepas,tugas
lesu darah,1,0,lesu,darah
lunak hati,1,0,lunak,hati
lunak mulut,1,0,lunak,mulut
lurus akal,1,0,lurus,akal
lurus hati,1,0,lurus,hati
mahal senyuman,1,0,mahal,senyuman
manis mulut,1,0,manis,mulut
masak ajar,1,0,masak,ajar
masuk akal,1,0,masuk,akal
mati angin,1,0,mati,angin
mati pucuk,1,0,mati,pucuk
mati raga,1,0,mati,raga
mati rasa,1,0,mati,rasa
mati tulang,1,0,mati,tulang
mengkal hati,1,0,mengkal,hati
merah telinga,1,0,merah,telinga
muda hati,1,0,muda,hati
murah hati,1,0,murah,hati
murah mulut,1,0,murah,mulut
murah rejeki,1,0,murah,rejeki
murah tangan,1,0,murah,tangan
naik darah,1,0,naik,darah
naik daun,1,0,naik,daun
naik derajat,1,0,naik,derajat
naik gaji,1,0,naik,gaji
naik hati,1,0,naik,hati
naik kelas,1,0,naik,kelas
naik marak,1,0,naik,marak
naik merek,1,0,naik,merek
naik palak,1,0,naik,palak
naik pangkat,1,0,naik,pangkat
naik semangat,1,0,naik,semangat
naik setum,1,0,naik,setum
naik tangan,1,0,naik,tangan
panas dalam,1,0,panas,dalam
panas hati,1,0,panas,hati
panjang akal,1,0,panjang,akal
panjang lidah,1,0,panjang,lidah
panjang mata,1,0,panjang,mata
panjang mulut,1,0,panjang,mulut
panjang tangan,1,0,panjang,tangan
panjang umur,1,0,panjang,umur
panjang untung,1,0,panjang,untung
pantas mulut,1,0,pantas,mulut
pantas tangan,1,0,pantas,tangan
patah hati,1,0,patah,hati
patah kemudi,1,0,patah,kemudi
patah lesu,1,0,patah,lesu
patah lidah,1,0,patah,lidah
patah nafsu,1,0,patah,nafsu
patah pucuk,1,0,patah,pucuk
patah selera,1,0,patah,selera
patah siku,1,0,patah,siku
patah tulang,1,0,patah,tulang
pecah hati,1,0,pecah,hati
pecah kulit,1,0,pecah,kulit
pedih hati,1,0,pedih,hati
pendek akal,1,0,pendek,akal
pendek kaji,1,0,pendek,kaji
pendek napas,1,0,pendek,napas
pendek permintaan,1,0,pendek,permintaan
pendek pikiran,1,0,pendek,pikiran
pening kepala,1,0,pening,kepala
pilu hati,1,0,pilu,hati
pulang pokok,1,0,pulang,pokok
putih hati,1,0,putih,hati
putih mata,1,0,putih,mata
putus akad,1,0,putus,akad
putus akal,1,0,putus,akal
putus asa,1,0,putus,asa
putus bicara,1,0,putus,bicara
putus harapan,1,0,putus,harapan
putus harga,1,0,putus,harga
putus ikhtiar,1,0,putus,ikhtiar
putus kaji,1,0,putus,kaji
putus lotere,1,0,putus,lotere
putus mupakat,1,0,putus,mupakat
putus napas,1,0,putus,napas
putus niat,1,0,putus,niat
putus nyawa,1,0,putus,nyawa
putus rejeki,1,0,putus,rejeki
putus umur,1,0,putus,umur
rambang mata,1,0,rambang,mata
rapuh hati,1,0,rapuh,hati
rapuh mulut,1,0,rapuh,mulut
rawan hati,1,0,rawan,hati
rela hati,1,0,rela,hati
rendah budi,1,0,rendah,budi
rendah diri,1,0,rendah,diri
rendah hati,1,0,rendah,hati
rentan hati,1,0,rentan,hati
riang mulut,1,0,riang,mulut
ringan kaki,1,0,ringan,kaki
ringan kepala,1,0,ringan,kepala
ringan mulut,1,0,ringan,mulut
ringan tangan,1,0,ringan,tangan
ringan tulang,1,0,ringan,tulang
rusuh hati,1,0,rusuh,hati
sakit hati,1,0,sakit,hati
sakit jantung,1,0,sakit,jantung
sakit kepala,1,0,sakit,kepala
salah benang,1,0,salah,benang
salah hati,1,0,salah,hati
salah jalan,1,0,salah,jalan
salah jawab,1,0,salah,jawab
salah kata,1,0,salah,kata
salah kira-kira,1,0,salah,kira-kira
salah langkah,1,0,salah,langkah
salah urat,1,0,salah,urat
salah wesel,1,0,salah,wesel
sama bunyi,1,0,sama,bunyi
sama rupa,1,0,sama,rupa
sama ucap,1,0,sama,ucap
sampai ajal,1,0,sampai,ajal
sampai hati,1,0,sampai,hati
sebal hati,1,0,sebal,hati
sedap hati,1,0,sedap,hati
sedih hati,1,0,sedih,hati
sedu hati,1,0,sedu,hati
sejuk hati,1,0,sejuk,hati
sempit hati,1,0,sempit,hati
sempit kalang ,1,0,sempit,kalang
sempit kening,1,0,sempit,kening
sempit pandangan,1,0,sempit,pandangan
senang hati,1,0,senang,hati
serong hati,1,0,serong,hati
sesat akal,1,0,sesat,akal
sesat barat,1,0,sesat,barat
sesat lalu,1,0,sesat,lalu
sesat langkah,1,0,sesat,langkah
sesat pikiran,1,0,sesat,pikiran
sesat pusat,1,0,sesat,pusat
setengah hati,1,0,setengah,hati
setengah mati,1,0,setengah,mati
siap mental,1,0,siap,mental
singkat akal,1,0,singkat,akal
singkat kata,1,0,singkat,kata
singkat mulut,1,0,singkat,mulut
singkat pengetahuan,1,0,singkat,pengetahuan
singkat tangan,1,0,singkat,tangan
suka hati,1,0,suka,hati
tabah hati,1,0,tabah,hati
tajam akal,1,0,tajam,akal
tajam hidung,1,0,tajam,hidung
tajam ingatan,1,0,tajam,ingatan
tajam lidah,1,0,tajam,lidah
tajam lilik,1,0,tajam,lilik
tawar hati,1,0,tawar,hati
tebal bibir,1,0,tebal,bibir
tebal jangat,1,0,tebal,jangat
tebal kulit,1,0,tebal,kulit
tebal lidah,1,0,tebal,lidah
tebal muka,1,0,tebal,muka
tebal telinga,1,0,tebal,telinga
tegar hati,1,0,tegar,hati
teguh hati,1,0,teguh,hati
tepat waktu,1,0,tepat,waktu
terang akal,1,0,terang,akal
terang hati,1,0,terang,hati
tetap hati,1,0,tetap,hati
tinggi hati,1,0,tinggi,hati
tinggi rejeki,1,0,tinggi,rejeki
tipis harapan,1,0,tipis,harapan
tipis telinga,1,0,tipis,telinga
turun darah,1,0,turun,darah
turun harga,1,0,turun,harga
turun merek,1,0,turun,merek
turun pangkat,1,0,turun,pangkat
turun tangan,1,0,turun,tangan
walang hati,1,0,walang,hati
waswas hati,1,0,waswas,hati
hidung belang,1,0,hidung,belang
hidung putih,1,0,hidung,putih
jarak jauh,1,0,jarak,jauh
kain kotor,1,0,kain,kotor
kepala berat,1,0,kepala,berat
kepala dingin,1,0,kepala,dingin
kepala dua,1,0,kepala,dua
kepala lengar,1,0,kepala,lengar
kepala ringan,1,0,kepala,ringan
mata dekat,1,0,mata,dekat
mata duitan,1,0,mata,duitan
mata gelap,1,0,mata,gelap
mata jauh,1,0,mata,jauh
mata luyu,1,0,mata,luyu
mata luyut,1,0,mata,luyut
mata mamang,1,0,mata,mamang
mata panjang,1,0,mata,panjang
mata ragum,1,0,mata,ragum
mata rambang,1,0,mata,rambang
mata ruyup,1,0,mata,ruyup
mata sepet,1,0,mata,sepet
mata tolak raih,1,0,mata,tolak
mulut bisa,1,0,mulut,bisa
mulut busuk,1,0,mulut,busuk
mulut gatal,1,0,mulut,gatal
mutut kotor,1,0,mutut,kotor
mulut manis,1,0,mulut,manis
mulut tajam,1,0,mulut,tajam
perut busuk,1,0,perut,busuk
tangan naik,1,0,tangan,naik
telinga tipis,1,0,telinga,tipis
adu buku tangan,1,0,adu,buku
adu cepat,1,0,adu,cepat
adu kening,1,0,adu,kening
adu kuat,1,0,adu,kuat
adu lidah,1,0,adu,lidah
adu pendapat,1,0,adu,pendapat
adu tenaga,1,0,adu,tenaga
adu ujung jarum,1,0,adu,ujung
adu jari,1,0,adu,jari
adu untung,1,0,adu,untung
adu upaya,1,0,adu,upaya
alih kecek,1,0,alih,kecek
alih langkah,1,0,alih,langkah
alih nama,1,0,alih,nama
ambil bagian,1,0,ambil,bagian
ambil berat,1,0,ambil,berat
ambil hati,1,0,ambil,hati
ambil pusing,1,0,ambil,pusing
angkat bahu,1,0,angkat,bahu
angkat bicara,1,0,angkat,bicara
angkat diri,1,0,angkat,diri
angkat kaki,1,0,angkat,kaki
angkat kening,1,0,angkat,kening
angkat mata,1,0,angkat,mata
angkat sembah,1,0,angkat,sembah
angkat sumpah,1,0,angkat,sumpah
angkat tangan,1,0,angkat,tangan
angkat topi,1,0,angkat,topi
balas budi,1,0,balas,budi
balik adab,1,0,balik,adab
balik arah,1,0,balik,arah
balik belah,1,0,balik,belah
balik gagang,1,0,balik,gagang
balik mata,1,0,balik,mata
banting tulang,1,0,banting,tulang
basuh mulut,1,0,basuh,mulut
bawa diri,1,0,bawa,diri
bawa nasib,1,0,bawa,nasib
buang air,1,0,buang,air
buang aksi,1,0,buang,aksi
buang diri,1,0,buang,diri
buka praktek,1,0,buka,praktek
buka puasa,1,0,buka,puasa
buka suara,1,0,buka,suara
bunuh diri,1,0,bunuh,diri
cemar kaki,1,0,cemar,kaki
cuci gudang,1,0,cuci,gudang
cuci mata,1,0,cuci,mata
cuci muka,1,0,cuci,muka
cuci mulut,1,0,cuci,mulut
cuci tangan,1,0,cuci,tangan
dapat angin,1,0,dapat,angin
diam diri,1,0,diam,diri
genggam-gemggam bara,1,0,genggam-gemggam,bara
goyang kaki,1,0,goyang,kaki
goyang kepala,1,0,goyang,kepala
goyang lidah,1,0,goyang,lidah
goyang pinggul,1,0,goyang,pinggul
gulung tikar,1,0,gulung,tikar
hisap darah,1,0,hisap,darah
jalan kaki,1,0,jalan,kaki
jawat tangan,1,0,jawat,tangan
jejak bahu,1,0,jejak,bahu
jejak bara,1,0,jejak,bara
keras batang leher,1,0,keras,batang
keras laku,1,0,keras,laku
lintas batas,1,0,lintas,batas
lintas budaya,1,0,lintas,budaya
lintas sektoral,1,0,lintas,sektoral
lupa daratan,1,0,lupa,daratan
main api,1,0,main,api
main hakim sendiri,1,0,main,hakim
main kartu,1,0,main,kartu
main kayu,1,0,main,kayu
main mata,1,0,main,mata
makan angin,1,0,makan,angin
makan duit,1,0,makan,duit
makan jangat,1,0,makan,jangat
makan suap,1,0,makan,suap
menang angka,1,0,menang,angka
menang lotre,1,0,menang,lotre
menang suara,1,0,menang,suara
minta ampun,1,0,minta,ampun
minta diri,1,0,minta,diri
mohon ampun,1,0,mohon,ampun
mohon diri,1,0,mohon,diri
naik kapal,1,0,naik,kapal
naik kuda hijau,1,0,naik,kuda
naik pelamin,1,0,naik,pelamin
naik takhta,1,0,naik,takhta
pacu jantung,1,0,pacu,jantung
pandang bulu,1,0,pandang,bulu
pasang aksi,1,0,pasang,aksi
pasang kuda-kuda,1,0,pasang,kuda-kuda
percaya angin,1,0,percaya,angin
(tidak) pandang bulu,1,0,(tidak),pandang
pilih kasih,1,0,pilih,kasih
pilih-pilih ruas,1,0,pilih-pilih,ruas
pilih-pilih tebu,1,0,pilih-pilih,tebu
pindah buku,1,0,pindah,buku
pindah darah,1,0,pindah,darah
pindah rumah,1,0,pindah,rumah
pindah tangan,1,0,pindah,tangan
potong jalan,1,0,potong,jalan
potong kompas,1,0,potong,kompas
sentuh landas,1,0,sentuh,landas
tahan diri,1,0,tahan,diri
tahan harga,1,0,tahan,harga
tahan hati,1,0,tahan,hati
tahan napas,1,0,tahan,napas
tahan sabar,1,0,tahan,sabar
tahu adat ,1,0,tahu,adat
tahu aturan,1,0,tahu,aturan
tahu balas,1,0,tahu,balas
tahu batas,1,0,tahu,batas
tahu diri,1,0,tahu,diri
tamat quran,1,0,tamat,quran
tangkap muka,1,0,tangkap,muka
tangkap tangan,1,0,tangkap,tangan
tarik muka dua belas,1,0,tarik,muka
tarik suara,1,0,tarik,suara
tarik urat,1,0,tarik,urat
taruh hati,1,0,taruh,hati
tekuk lutut,1,0,tekuk,lutut
tenggang hati,1,0,tenggang,hati
tenggang rasa,1,0,tenggang,rasa
terima kasih,1,0,terima,kasih
tidak tahu malu,1,0,tidak,tahu
tinggal landas,1,0,tinggal,landas
tolak angin,1,0,tolak,angin
tolak pinggang,1,0,tolak,pinggang
tukar cincin,1,0,tukar,cincin
tunjuk hidung,1,0,tunjuk,hidung
turun gunung,1,0,turun,gunung
turun ranjang,1,0,turun,ranjang
turun tanah,1,0,turun,tanah
turun tangga,1,0,turun,tangga
unjuk diri,1,0,unjuk,diri
unjuk gigi,1,0,unjuk,gigi
asal beli,1,0,asal,beli
asal jadi,1,0,asal,jadi
baik sangka,1,0,baik,sangka
buruk ambil,1,0,buruk,ambil
buruk laku,1,0,buruk,laku
buruk sangka,1,0,buruk,sangka
imbal beli,1,0,imbal,beli
kalah kuat,1,0,kalah,kuat
kalah pandai,1,0,kalah,pandai
kalah tinggi,1,0,kalah,tinggi
kurang cerap,1,0,kurang,cerap
kurang ingat,1,0,kurang,ingat
kurang jadi,1,0,kurang,jadi
kurang makan,1,0,kurang,makan
kurang periksa,1,0,kurang,periksa
kurang pikir,1,0,kurang,pikir
kurang tanggap,1,0,kurang,tanggap
kurang terima,1,0,kurang,terima
kurang tilik,1,0,kurang,tilik
pandai jatuh,1,0,pandai,jatuh
pendek kira-kira,1,0,pendek,kira-kira
salah rasa,1,0,salah,rasa
salah sangka,1,0,salah,sangka
salah sebut,1,0,salah,sebut
salah tafsir,1,0,salah,tafsir
salah tampa,1,0,salah,tampa
salah tebak,1,0,salah,tebak
salah terima,1,0,salah,terima
salah ucap,1,0,salah,ucap
sama kuat,1,0,sama,kuat
sama mudah,1,0,sama,mudah
sama tinggi,1,0,sama,tinggi
salah agak,1,0,salah,agak
salah ambil,1,0,salah,ambil
salah baca,1,0,salah,baca
salah bikin,1,0,salah,bikin
salah dengar,1,0,salah,dengar
salah bidik,1,0,salah,bidik
salah dorong,1,0,salah,dorong
salah duga,1,0,salah,duga
salah eja,1,0,salah,eja
salah guna,1,0,salah,guna
salah hitung,1,0,salah,hitung
salah jamah,1,0,salah,jamah
salah kena,1,0,salah,kena
salah kira,1,0,salah,kira
salah lihat,1,0,salah,lihat
salah mengerti,1,0,salah,mengerti
salah pakai,1,0,salah,pakai
salah pilih,1,0,salah,pilih
salah raba,1,0,salah,raba
ada angin,1,0,ada,angin
ada hati,1,0,ada,hati
atas angin,1,0,atas,angin
atas pagar,1,0,atas,pagar
awet muda,1,0,awet,muda
bau bangkai,1,0,bau,bangkai
bau minyak,1,0,bau,minyak
bawah angin,1,0,bawah,angin
bawah tanah,1,0,bawah,tanah
berak darah,1,0,berak,darah
berani mati,1,0,berani,mati
berat anak,1,0,berat,anak
berat istri,1,0,berat,istri
berat sebelah,1,0,berat,sebelah
berat suami,1,0,berat,suami
buta huruf,1,0,buta,huruf
buta kayu,1,0,buta,kayu
buta malam,1,0,buta,malam
buta politik,1,0,buta,politik
buta siang,1,0,buta,siang
buta warna,1,0,buta,warna
cerai susu,1,0,cerai,susu
dalam kota,1,0,dalam,kota
dalam negeri,1,0,dalam,negeri
gila pangkat,1,0,gila,pangkat
habis tempo,1,0,habis,tempo
hampa udara,1,0,hampa,udara
haus buku,1,0,haus,buku
haus darah,1,0,haus,darah
haus kekuasaan,1,0,haus,kekuasaan
haus uang,1,0,haus,uang
jatuh tempo,1,0,jatuh,tempo
jauh hari,1,0,jauh,hari
jauh malam,1,0,jauh,malam
kalah suara,1,0,kalah,suara
kering embun,1,0,kering,embun
laik laut,1,0,laik,laut
laik udara,1,0,laik,udara
layak laut,1,0,layak,laut
layak udara,1,0,layak,udara
lepas landas,1,0,lepas,landas
lepas pantai,1,0,lepas,pantai
lolos butuh,1,0,lolos,butuh
luar biasa,1,0,luar,biasa
luar kota,1,0,luar,kota
luar negeri,1,0,luar,negeri
melek huruf,1,0,melek,huruf
mogok kuliah,1,0,mogok,kuliah
mogok makan,1,0,mogok,makan
naik apel,1,0,naik,apel
naik banding,1,0,naik,banding
naik nobat,1,0,naik,nobat
peka cahaya,1,0,peka,cahaya
puas diri,1,0,puas,diri
salah air,1,0,salah,air
salah angkuh,1,0,salah,angkuh
salah rupa,1,0,salah,rupa
sama tengah,1,0,sama,tengah
sesat air,1,0,sesat,air
siap pakai,1,0,siap,pakai
siap tempur,1,0,siap,tempur
terang bulan,1,0,terang,bulan
terang cuaca,1,0,terang,cuaca
terang hari,1,0,terang,hari
terang tanah,1,0,terang,tanah
terang terbang lalat,1,0,terang,terbang
tinggi hari,1,0,tinggi,hari
busung darah,1,0,busung,darah
busung lapar,1,0,busung,lapar
cerai mati,1,0,cerai,mati
cerai tembilang,1,0,cerai,tembilang
mabuk asmara,1,0,mabuk,asmara
mabuk birahi,1,0,mabuk,birahi
mabuk bunga raya,1,0,mabuk,bunga
mabuk bunga selasih,1,0,mabuk,bunga
mabuk darah,1,0,mabuk,darah
mabuk durian,1,0,mabuk,durian
mabuk gadung,1,0,mabuk,gadung
mabuk kepayang,1,0,mabuk,kepayang
mabuk laut,1,0,mabuk,laut
mabuk ombak,1,0,mabuk,ombak
mabuk udara,1,0,mabuk,udara
mandi angin,1,0,mandi,angin
mandi darah,1,0,mandi,darah
mandi keringat,1,0,mandi,keringat
mandi ombak,1,0,mandi,ombak
mandi peluh,1,0,mandi,peluh
masak tangan,1,0,masak,tangan
gagal total,1,0,gagal,total
harap-harap cemas,1,0,harap-harap,cemas
kawin lari,1,0,kawin,lari
kawin paksa,1,0,kawin,paksa
kawin tamasya,1,0,kawin,tamasya
keras-keras lemah,1,0,keras-keras,lemah
mati seladang,1,0,mati,seladang
mati syahid,1,0,mati,syahid
mogok duduk,1,0,mogok,duduk
nikah tamasya,1,0,nikah,tamasya
terima salah,1,0,terima,salah
kembar lima,1,0,kembar,lima
kembar tiga,1,0,kembar,tiga
lipat banyak,1,0,lipat,banyak
lipat dua,1,0,lipat,dua
lipat tiga,1,0,lipat,tiga
kedap air,1,0,kedap,air
kedap suara,1,0,kedap,suara
tahan air,1,0,tahan,air
tahan api,1,0,tahan,api
tahan besi,1,0,tahan,besi
tahan cuci,1,0,tahan,cuci
tahan gelombang,1,0,tahan,gelombang
tahan hina,1,0,tahan,hina
tahan kias,1,0,tahan,kias
tahan lama,1,0,tahan,lama
tahan lapar,1,0,tahan,lapar
tahan lasak,1,0,tahan,lasak
tahan palu,1,0,tahan,palu
tahan peluru,1,0,tahan,peluru
tahan sesah,1,0,tahan,sesah
tahan tangan,1,0,tahan,tangan
tahan tembak,1,0,tahan,tembak
tahan uji,1,0,tahan,uji
bodoh-bodoh sepat,1,0,bodoh-bodoh,sepat
bulat telur,1,0,bulat,telur
bulat torak,1,0,bulat,torak
bunting kerbau,1,0,bunting,kerbau
buta ayam,1,0,buta,ayam
cabik-cabik bulu ayam,1,0,cabik-cabik,bulu
carik-carik bulu ayam,1,0,carik-carik,bulu
diam-diam lepu,1,0,diam-diam,lepu
hangat-hangat kuku,1,0,hangat-hangat,kuku
hangat-hangat tahi ayam,1,0,hangat-hangat,tahi
hijau lumut,1,0,hijau,lumut
hitam-hitam gula jawa,1,0,hitam-hitam,gula
hitam manggis,1,0,hitam,manggis
jinak-jinak merpati,1,0,jinak-jinak,merpati
juling air,1,0,juling,air
keras-keras kerak,1,0,keras-keras,kerak
keruh-keruh kerak,1,0,keruh-keruh,kerak
kesat-kesat daun pisang,1,0,kesat-kesat,daun
kuning gading,1,0,kuning,gading
kuning langsat,1,0,kuning,langsat
lari-lari anjing,1,0,lari-lari,anjing
layu bunga,1,0,layu,bunga
lepas angin,1,0,lepas,angin
lipat kajang,1,0,lipat,kajang
luas-luas daun lalang,1,0,luas-luas,daun
lurus-lurus ekor anjing,1,0,lurus-lurus,ekor
lurus tabung,1,0,lurus,tabung
mabuk empat tiang,1,0,mabuk,empat
malu-malu kucing,1,0,malu-malu,kucing
mati katak,1,0,mati,katak
mati kutu,1,0,mati,kutu
merdeka ayam,1,0,merdeka,ayam
nyengir kuda,1,0,nyengir,kuda
patah arang,1,0,patah,arang
patah batu,1,0,patah,batu
pekak badak,1,0,pekak,badak
pekak batu,1,0,pekak,batu
pekak labang,1,0,pekak,labang
pening-pening lalat,1,0,pening-pening,lalat
putih salju,1,0,putih,salju
putus arang,1,0,putus,arang
sakit kaki gajah,1,0,sakit,kaki
sakit kuning,1,0,sakit,kuning
silu-silu asam,1,0,silu-silu,asam
suam-suam kuku,1,0,suam-suam,kuku
terang-terang kain,1,0,terang-terang,kain
tidur-tidur ayam,1,0,tidur-tidur,ayam
tua-tua keladi,1,0,tua-tua,keladi
tua-tua kelapa,1,0,tua-tua,kelapa
banjir uang,1,0,banjir,uang
lut sinar,1,0,lut,sinar
masuk angin,1,0,masuk,angin
penuh air,1,0,penuh,air
tembus cahaya,1,0,tembus,cahaya
tembus mata,1,0,tembus,mata
tembus pandang,1,0,tembus,pandang
balik belakang,1,0,balik,belakang
balik kerak,1,0,balik,kerak
belok kiri,1,0,belok,kiri
hadap kanan,1,0,hadap,kanan
hadap kiri,1,0,hadap,kiri
masuk desa,1,0,masuk,desa
masuk kerja,1,0,masuk,kerja
masuk perangkap,1,0,masuk,perangkap
masuk sekolah,1,0,masuk,sekolah
masuk suluk,1,0,masuk,suluk
naik darat,1,0,naik,darat
pulang kampung,1,0,pulang,kampung
pulang kandang,1,0,pulang,kandang
pulang kantor,1,0,pulang,kantor
turun kandang,1,0,turun,kandang
jatuh cinta,1,0,jatuh,cinta
jatuh melarat,1,0,jatuh,melarat
jatuh miskin,1,0,jatuh,miskin
jatuh pailit,1,0,jatuh,pailit
jatuh sakit,1,0,jatuh,sakit
masuk belanda,1,0,masuk,belanda
masuk islam,1,0,masuk,islam
masuk kompeni,1,0,masuk,kompeni
masuk kristen,1,0,masuk,kristen
masuk tentara,1,0,masuk,tentara
naik besar,1,0,naik,besar
naik gembira,1,0,naik,gembira
naik geram,1,0,naik,geram
naik haji,1,0,naik,haji
naik marah,1,0,naik,marah
naik mempelai,1,0,naik,mempelai
naik pitam,1,0,naik,pitam
naik raja,1,0,naik,raja
naik saksi,1,0,naik,saksi
pergi haji,1,0,pergi,haji
bagi rata,1,0,bagi,rata
beri tahu,1,0,beri,tahu
bumi hangus,1,0,bumi,hangus
pukul mundur,1,0,pukul,mundur
tembak jatuh,1,0,tembak,jatuh
tembak mati,1,0,tembak,mati
tahu ada,1,0,tahu,ada
tahu beres,1,0,tahu,beres
tahu jadi,1,0,tahu,jadi
tahu dia,1,0,tahu,dia
tangkap basar,1,0,tangkap,basar
kepala angin,1,0,kepala,angin
kepala batu,1,0,kepala,batu
kepala udang,1,0,kepala,udang
mata biji saga,1,0,mata,biji
mata kelemayar,1,0,mata,kelemayar
mata keranjang,1,0,mata,keranjang
mata sabun,1,0,mata,sabun
mata seluang,1,0,mata,seluang
otak udang,1,0,otak,udang
telinga kuali,1,0,telinga,kuali
telinga tempayan,1,0,telinga,tempayan
jerih penat,1,0,jerih,penat
karib bait,1,0,karib,bait
kasih sayang,1,0,kasih,sayang
kawal sambang,1,0,kawal,sambang
kecil mungil,1,0,kecil,mungil
kekal abadi,1,0,kekal,abadi
keluh kesah,1,0,keluh,kesah
kepalang tanggung,1,0,kepalang,tanggung
kusut masai,1,0,kusut,masai
kusut rumut,1,0,kusut,rumut
kutuk laknat,1,0,kutuk,laknat
lalu lalang,1,0,lalu,lalang
lambat laun,1,0,lambat,laun
lembah ngarai,1,0,lembah,ngarai
limpah ruah,1,0,limpah,ruah
malang melintang,1,0,malang,melintang
mara bahaya,1,0,mara,bahaya
miskin papa,1,0,miskin,papa
muda beliau,1,0,muda,beliau
nur cahaya,1,0,nur,cahaya
pahit getir,1,0,pahit,getir
pecah belah,1,0,pecah,belah
pekik sorak,1,0,pekik,sorak
piuh pilin,1,0,piuh,pilin
pucat kusam,1,0,pucat,kusam
pucat nasi,1,0,pucat,nasi
pucuk rayu,1,0,pucuk,rayu
rawa paya,1,0,rawa,paya
riak gelombang,1,0,riak,gelombang
salah silih,1,0,salah,silih
sanak saudara,1,0,sanak,saudara
sangkut paut,1,0,sangkut,paut
sarap sampah,1,0,sarap,sampah
sebab musabab,1,0,sebab,musabab
sedu sedan,1,0,sedu,sedan
sehat walafiat,1,0,sehat,walafiat
semak belukar,1,0,semak,belukar
semak samun,1,0,semak,samun
senda gurau,1,0,senda,gurau
siap siaga,1,0,siap,siaga
sopan santun,1,0,sopan,santun
sorak sorai,1,0,sorak,sorai
sumpah serapah,1,0,sumpah,serapah
sunyi senyap,1,0,sunyi,senyap
susah payah,1,0,susah,payah
tebak terka,1,0,tebak,terka
tegur sapa,1,0,tegur,sapa
tempik sorak,1,0,tempik,sorak
tenggang waktu,1,0,tenggang,waktu
tindak tanduk,1,0,tindak,tanduk
tingkah laku,1,0,tingkah,laku
tipu daya,1,0,tipu,daya
tipu muslihat,1,0,tipu,muslihat
titi mangsa,1,1,titi,mangsa
tolok ukur,1,0,tolok,ukur
tulus ikhlas,1,0,tulus,ikhlas
tumpah ruah,1,0,tumpah,ruah
turut serta,1,0,turut,serta
tutur sapa,1,0,tutur,sapa
warta berita,1,0,warta,berita
yatim piatu,1,0,yatim,piatu
akal budi,1,0,akal,budi
akhir kelak,1,0,akhir,kelak
amal bakti,1,0,amal,bakti
aman sejahtera,1,0,aman,sejahtera
aman sentosa,1,0,aman,sentosa
aman tenteram,1,0,aman,tenteram
anak bini,1,0,anak,bini
anak buah,1,0,anak,buah
anak istri,1,0,anak,istri
aneh bin ajaib,1,0,aneh,bin
